artist_name,popularity,followers,genres,album_name,album_id,release_date,total_tracks,available_markets_count,album_type,album_group,album_popularity,album_genres,album_label,track_number,track_name,track_id,duration_ms,explicit,track_popularity,artists
Charlie Puth,79,24104980,"soft pop, pop",Marvin Gaye (feat. Meghan Trainor) [Remixes],0YTxjPT3HR7S0gwSYFCgKj,2015-08-28,4,185,single,single,22,,Artist Partner,1,Marvin Gaye (feat. Meghan Trainor) - DJ Kue Remix,7wDXXa6IpKsRacbkNRZ9zw,333749,False,27,"Charlie Puth, Meghan Trainor, DJ Kue"
Charlie Puth,79,24104980,"soft pop, pop",Marvin Gaye (feat. Meghan Trainor) [Remixes],0YTxjPT3HR7S0gwSYFCgKj,2015-08-28,4,185,single,single,22,,Artist Partner,2,Marvin Gaye (feat. Meghan Trainor) - Cahill Remix,09GdVOr5ucGImTdWw6mHGx,177220,False,15,"Charlie Puth, Meghan Trainor, Cahill"
Charlie Puth,79,24104980,"soft pop, pop",Marvin Gaye (feat. Meghan Trainor) [Remixes],0YTxjPT3HR7S0gwSYFCgKj,2015-08-28,4,185,single,single,22,,Artist Partner,3,Marvin Gaye (feat. Meghan Trainor) - Boehm Remix,35Ys6m2aXKVOAMD5SlP2W2,194499,False,13,"Charlie Puth, Meghan Trainor, Boehm"
Charlie Puth,79,24104980,"soft pop, pop",Marvin Gaye (feat. Meghan Trainor) [Remixes],0YTxjPT3HR7S0gwSYFCgKj,2015-08-28,4,185,single,single,22,,Artist Partner,4,Marvin Gaye (feat. Meghan Trainor) - 10K Islands Remix,4n6DdZ99RT6PplUCn5qP18,190675,False,23,"Charlie Puth, Meghan Trainor, 10k Islands"
Charlie Puth,79,24104980,"soft pop, pop",Nothing but Trouble (Instagram Models) [From 808: The Music],11e5zCxCAmhFTG5nnnZibS,2015-06-30,1,117,single,single,32,,Big Beat Records/Atlantic,1,Nothing but Trouble - Instagram Models,7rdjfrTBMNt3KaaGvSv3YG,217984,True,42,"Lil Wayne, Charlie Puth"
Charlie Puth,79,24104980,"soft pop, pop",Some Type of Love,5t4A7Loq1pKRFlkBOs1O2O,2015-05-01,4,167,single,single,50,,Artist Partner,1,I Won't Tell a Soul,7uFhHMYpEC2MLXwxt64pMD,187884,False,42,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Some Type of Love,5t4A7Loq1pKRFlkBOs1O2O,2015-05-01,4,167,single,single,50,,Artist Partner,2,Marvin Gaye (feat. Meghan Trainor),6ukMqDxnOPOgoHdak7Kyp3,190453,False,60,"Charlie Puth, Meghan Trainor"
Charlie Puth,79,24104980,"soft pop, pop",Some Type of Love,5t4A7Loq1pKRFlkBOs1O2O,2015-05-01,4,167,single,single,50,,Artist Partner,3,Some Type of Love,2nI6aT3cnPFoXQ1L705wcY,185608,False,36,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Some Type of Love,5t4A7Loq1pKRFlkBOs1O2O,2015-05-01,4,167,single,single,50,,Artist Partner,4,Suffer,4PIVn5SSEfEe9nTxvn6cQe,210303,False,24,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",See You Again (feat. Charlie Puth),5FXIqS1XqbpfOKNoi5VUwS,2015,1,184,single,single,68,,Atlantic Records,1,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,229525,False,78,"Wiz Khalifa, Charlie Puth"
